donor,recipient,Year,fdi_total
AUS,CAN,2009,10967.887
AUS,CAN,2010,15124.505
AUS,CAN,2011,19298.78
AUS,CAN,2012,21824.142
AUS,CAN,2013,15021.277
AUS,CAN,2014,18617.72
AUS,CAN,2015,18128.151
AUS,CAN,2016,20572.359
AUS,CAN,2017,27626.55
AUS,DEU,2009,16244.169
AUS,DEU,2010,17079.988
AUS,DEU,2011,14326.22
AUS,DEU,2012,14144.641
AUS,DEU,2013,11947.695
AUS,DEU,2014,12946.857
AUS,DEU,2015,12419.814
AUS,DEU,2016,14140.376
AUS,DEU,2017,18580.454
AUS,GBR,2009,54682.454
AUS,GBR,2010,54556.357
AUS,GBR,2011,67202.236
AUS,GBR,2012,75848.075
AUS,GBR,2013,70283.688
AUS,GBR,2014,64452.956
AUS,GBR,2015,47266.019
AUS,GBR,2016,54038.35
AUS,GBR,2017,64873.255
AUS,ITA,2009,423.394
AUS,ITA,2010,586.442
AUS,ITA,2011,
AUS,ITA,2012,605.619
AUS,ITA,2013,805.851
AUS,ITA,2014,770.168
AUS,ITA,2015,
AUS,ITA,2016,430.535
AUS,ITA,2017,541.299
AUS,JPN,2009,40937.388
AUS,JPN,2010,51917.878
AUS,JPN,2011,55757.114
AUS,JPN,2012,66874.089
AUS,JPN,2013,60144.504
AUS,JPN,2014,58458.935
AUS,JPN,2015,63300.212
AUS,JPN,2016,65877.713
AUS,JPN,2017,72162.858
AUS,USA,2009,88070.506
AUS,USA,2010,112118.101
AUS,USA,2011,117380.081
AUS,USA,2012,136379.813
AUS,USA,2013,135084.22
AUS,USA,2014,133943.581
AUS,USA,2015,133580.039
AUS,USA,2016,139636.035
AUS,USA,2017,148131.191
AUT,CAN,2012,2587.071
AUT,CAN,2013,2947.18
AUT,CAN,2014,2497.404
AUT,CAN,2015,2919.978
AUT,CAN,2016,3706.124
AUT,CAN,2017,4535.86
AUT,DEU,2012,47712.401
AUT,DEU,2013,52180.389
AUT,DEU,2014,45400.055
AUT,DEU,2015,45058.247
AUT,DEU,2016,45979.762
AUT,DEU,2017,56224.514
AUT,GBR,2012,5089.71
AUT,GBR,2013,6499.793
AUT,GBR,2014,4663.358
AUT,GBR,2015,5259.662
AUT,GBR,2016,5716.243
AUT,GBR,2017,7179.18
AUT,ITA,2012,20978.892
AUT,ITA,2013,19347.676
AUT,ITA,2014,20404.165
AUT,ITA,2015,18500.817
AUT,ITA,2016,10314.114
AUT,ITA,2017,12059.247
AUT,JPN,2012,2597.625
AUT,JPN,2013,2654.806
AUT,JPN,2014,2578.748
AUT,JPN,2015,2102.341
AUT,JPN,2016,2142.932
AUT,JPN,2017,2489.806
AUT,USA,2012,18298.153
AUT,USA,2013,19975.176
AUT,USA,2014,18448.249
AUT,USA,2015,15551.443
AUT,USA,2016,14263.729
AUT,USA,2017,14140.082
BEL,CAN,2013,-55.165
BEL,CAN,2014,-781.88
BEL,CAN,2015,-312.466
BEL,CAN,2016,-144.408
BEL,CAN,2017,292.636
BEL,DEU,2013,14775.893
BEL,DEU,2014,10674.367
BEL,DEU,2015,15651.606
BEL,DEU,2016,10680.932
BEL,DEU,2017,2644.519
BEL,GBR,2013,-4873.811
BEL,GBR,2014,-7178.973
BEL,GBR,2015,-3011.432
BEL,GBR,2016,3897.966
BEL,GBR,2017,5189.494
BEL,ITA,2013,-2682.389
BEL,ITA,2014,135.979
BEL,ITA,2015,-1050.626
BEL,ITA,2016,-416.359
BEL,ITA,2017,215.879
BEL,JPN,2013,16858.364
BEL,JPN,2014,14085.988
BEL,JPN,2015,13285.792
BEL,JPN,2016,14292.189
BEL,JPN,2017,17108.419
BEL,USA,2013,-7448.628
BEL,USA,2014,-8654.105
BEL,USA,2015,-9404.464
BEL,USA,2016,2032.255
BEL,USA,2017,9702.567
CAN,CAN,2014,5233.21
CAN,CAN,2015,5321.532
CAN,CAN,2016,6439.264
CAN,DEU,2014,14897.836
CAN,DEU,2015,16653.179
CAN,DEU,2016,19018.396
CAN,GBR,2014,44750.41
CAN,GBR,2015,34830.925
CAN,GBR,2016,36052.73
CAN,ITA,2014,4501.25
CAN,ITA,2015,3887.283
CAN,ITA,2016,3691.07
CAN,JPN,2014,28161.911
CAN,JPN,2015,27344.653
CAN,JPN,2016,30373.874
CAN,USA,2014,327964.48
CAN,USA,2015,294033.96
CAN,USA,2016,314590.005
CZE,CAN,2013,280.335
CZE,CAN,2014,384.775
CZE,CAN,2015,393.299
CZE,CAN,2016,390.29
CZE,CAN,2017,490.086
CZE,DEU,2013,32464.694
CZE,DEU,2014,30319.798
CZE,DEU,2015,27595.06
CZE,DEU,2016,26097.462
CZE,DEU,2017,31006.733
CZE,GBR,2013,6282.66
CZE,GBR,2014,5930.482
CZE,GBR,2015,5350.883
CZE,GBR,2016,5604.089
CZE,GBR,2017,6442.915
CZE,ITA,2013,6591.42
CZE,ITA,2014,4912.048
CZE,ITA,2015,5612.496
CZE,ITA,2016,5676.585
CZE,ITA,2017,6465.741
CZE,JPN,2013,2248.507
CZE,JPN,2014,2211.12
CZE,JPN,2015,2676.783
CZE,JPN,2016,2519.323
CZE,JPN,2017,3314.145
CZE,USA,2013,10799.797
CZE,USA,2014,9625.004
CZE,USA,2015,9278.39
CZE,USA,2016,8867.472
CZE,USA,2017,10307.623
DNK,CAN,2013,9.053
DNK,CAN,2014,303.199
DNK,CAN,2015,139.678
DNK,CAN,2016,28.925
DNK,CAN,2017,66.53
DNK,DEU,2013,5183.365
DNK,DEU,2014,4781.096
DNK,DEU,2015,4707.76
DNK,DEU,2016,5113.572
DNK,DEU,2017,6387.39
DNK,GBR,2013,3602.453
DNK,GBR,2014,5716.176
DNK,GBR,2015,7865.007
DNK,GBR,2016,9527.564
DNK,GBR,2017,12534.433
DNK,ITA,2013,249.783
DNK,ITA,2014,229.523
DNK,ITA,2015,629.283
DNK,ITA,2016,457.123
DNK,ITA,2017,697.843
DNK,JPN,2013,8628.041
DNK,USA,2013,122.49
DNK,USA,2014,5812.232
DNK,USA,2015,5063.25
DNK,USA,2016,5539.36
DNK,USA,2017,6289.93
FIN,CAN,2013,2463.233
FIN,CAN,2014,2164.765
FIN,CAN,2015,
FIN,CAN,2016,1085.696
FIN,CAN,2017,1236.508
FIN,DEU,2013,1979.823
FIN,DEU,2014,3017.913
FIN,DEU,2015,
FIN,DEU,2016,2997.786
FIN,DEU,2017,3476.853
FIN,GBR,2013,813.281
FIN,GBR,2014,958.712
FIN,GBR,2015,
FIN,GBR,2016,746.284
FIN,GBR,2017,790.357
FIN,ITA,2013,581.258
FIN,ITA,2014,572.532
FIN,ITA,2015,
FIN,ITA,2016,937.072
FIN,ITA,2017,1027.824
FIN,JPN,2013,1518.384
FIN,JPN,2014,2007.126
FIN,JPN,2015,
FIN,JPN,2016,1467.271
FIN,JPN,2017,1989.686
FIN,USA,2013,9977.948
FIN,USA,2014,14185.01
FIN,USA,2015,
FIN,USA,2016,5332.56
FIN,USA,2017,9643.799
FRA,CAN,2011,2979.275
FRA,CAN,2012,3622.691
FRA,CAN,2013,289.615
FRA,CAN,2014,6519.717
FRA,CAN,2015,6796.952
FRA,CAN,2016,4983.662
FRA,DEU,2011,85928.756
FRA,DEU,2012,94069.921
FRA,DEU,2013,93907.047
FRA,DEU,2014,82772.482
FRA,DEU,2015,80557.431
FRA,DEU,2016,87551.386
FRA,GBR,2011,68887.306
FRA,GBR,2012,85127.968
FRA,GBR,2013,95468.211
FRA,GBR,2014,78614.189
FRA,GBR,2015,84679.369
FRA,GBR,2016,74725.414
FRA,ITA,2011,24804.404
FRA,ITA,2012,21697.889
FRA,ITA,2013,26685.974
FRA,ITA,2014,21329.309
FRA,ITA,2015,22089.276
FRA,ITA,2016,22682.618
FRA,JPN,2011,15313.472
FRA,JPN,2012,15579.156
FRA,JPN,2013,17412.771
FRA,JPN,2014,19860.248
FRA,JPN,2015,19314.099
FRA,JPN,2016,17156.108
FRA,USA,2011,136098.446
FRA,USA,2012,134116.095
FRA,USA,2013,149475.934
FRA,USA,2014,152084.236
FRA,USA,2015,130959.173
FRA,USA,2016,124481.923
DEU,CAN,2014,6888.803
DEU,DEU,2013,58961.523
DEU,DEU,2014,68773.909
DEU,DEU,2015,62546.543
