"","durmths","ctg","ongoing","idem","tdem","pbal","censor"
"1",1,1,0,-7,9,0.819589972496033,1
"2",1,0,0,8,-7,0.982290029525757,1
"3",1,1,0,-7,-7,0.0820399969816208,1
"4",1,0,0,10,-7,0.999710023403168,1
"5",1,1,0,9,1,0.979870021343231,1
"6",1,0,0,10,3,0.773639976978302,1
"7",1,0,0,10,-9,0.993239998817444,1
"8",1,1,0,10,10,0.970210015773773,1
"9",1,0,0,10,4,0.995150029659271,1
"10",1,1,0,-7,-7,0.114660002291203,1
"11",1,1,0,4,-7,0.992150008678436,1
"12",1,0,0,-7,-3,0.803369998931885,1
"13",1,1,0,-7,10,0.240630000829697,1
"14",1,1,0,-9,-8,0.0203799996525049,1
"15",1,1,0,-7,10,0.959999978542328,1
"16",1,1,0,-7,-7,0.866710007190704,1
"17",1,1,0,8,-7,0.853980004787445,1
"18",1,1,0,-9,10,0.318679988384247,1
"19",1,1,0,4,-7,0.885710000991821,1
"20",1,0,0,10,-4,0.995109975337982,1
"21",1,1,0,7,4,0.945860028266907,1
"22",1,1,0,NA,10,0.0150399999693036,1
"23",1,0,0,10,8,0.972699999809265,1
"24",1,1,0,-7,-7,0.493669986724854,1
"25",1,0,0,-8,-7,0.0482800006866455,1
"26",1,1,0,7,9,0.755890011787415,1
"27",1,1,0,-5,-10,0.296350002288818,1
"28",1,0,0,10,NA,0.999899983406067,1
"29",1,0,0,10,5,0.997340023517609,1
"30",1,1,0,8,-7,0.983780026435852,1
"31",1,1,0,-9,9,0.319819986820221,1
"32",1,0,0,-7,-7,0.13298000395298,1
"33",1,1,0,-9,-5,0.000829999975394458,1
"34",1,0,0,9,-5,0.401600003242493,1
"35",1,0,0,10,-9,0.911779999732971,1
"36",1,0,0,10,-7,0.990289986133575,1
"37",1,1,0,4,5,0.878329992294312,1
"38",1,1,0,9,-7,0.520690023899078,1
"39",1,1,0,0,10,0.00779000017791986,1
"40",1,0,0,9,-7,0.810609996318817,1
"41",1,1,0,NA,0,0.193259999155998,1
"42",1,1,0,-9,-9,0.455879986286163,1
"43",1,1,0,10,-9,0.681320011615753,1
"44",1,0,0,-9,-7,0.190620005130768,1
"45",1,0,0,10,10,0.99864000082016,1
"46",1,1,0,8,9,0.380589991807938,1
"47",1,1,0,-7,-7,0.140860006213188,1
"48",1,0,0,10,-5,0.990710020065308,1
"49",1,0,0,-7,-7,0.476920008659363,1
"50",1,1,0,-9,5,0.790790021419525,1
"51",1,0,0,10,-6,0.950110018253326,1
"52",1,1,0,-5,-7,0.243369996547699,1
"53",1,NA,0,NA,-9,NA,1
"54",1,1,0,8,-9,0.829919993877411,1
"55",1,0,0,10,-10,0.995459973812103,1
"56",1,0,0,-7,-10,0.998920023441315,1
"57",1,0,0,10,10,0.906040012836456,1
"58",1,0,0,-7,10,0.0642800033092499,1
"59",1,0,0,10,-8,0.997619986534119,1
"60",1,0,0,-7,9,0.59416002035141,1
"61",1,1,0,2,4,0.271600008010864,1
"62",1,1,0,10,-3,0.422179996967316,1
"63",1,0,0,10,NA,0.999469995498657,1
"64",1,1,0,-5,-9,0.500909984111786,1
"65",1,0,0,-6,-9,0.780730009078979,1
"66",1,1,0,-6,-7,0.893909990787506,1
"67",1,1,0,-7,8,0.146019995212555,1
"68",1,1,0,-7,9,0.479310005903244,1
"69",1,0,0,10,NA,0.993709981441498,1
"70",1,0,0,-9,-7,0.205369994044304,1
"71",1,1,0,-7,-6,0.324809998273849,1
"72",1,0,0,10,NA,0.999029994010925,1
"73",1,1,0,-7,-7,0.460119992494583,1
"74",1,0,0,-8,-9,0.181820005178452,1
"75",1,0,0,-7,-9,0.554149985313416,1
"76",1,1,0,10,NA,0.99957001209259,1
"77",1,0,0,10,NA,0.994090020656586,1
"78",1,1,0,-7,-6,0.106090001761913,1
"79",1,1,0,-1,5,0.764970004558563,1
"80",1,1,0,-9,8,0.170080006122589,1
"81",1,0,0,10,0,0.996540009975433,1
"82",1,0,0,6,10,0.199689999222755,1
"83",1,0,0,-7,NA,0.996879994869232,1
"84",1,0,0,10,NA,0.957579970359802,1
"85",1,0,0,-6,10,0.979830026626587,1
"86",1,1,0,4,-1,0.353450000286102,1
"87",1,1,0,-7,-7,0.133289992809296,1
"88",1,0,0,10,-7,0.989960014820099,1
"89",1,1,0,4,-9,0.906210005283356,1
"90",1,1,0,4,-10,0.814170002937317,1
"91",1,0,0,10,2,0.998220026493073,1
"92",1,1,0,4,-8,0.902819991111755,1
"93",1,1,0,-8,-7,0.739170014858246,1
"94",1,1,0,-7,-9,0.651579976081848,1
"95",1,1,0,-10,5,0.186440005898476,1
"96",1,1,0,-7,-7,0.506330013275146,1
"97",1,0,0,10,0,0.996789991855621,1
"98",1,0,0,-7,-7,0.24796000123024,1
"99",1,0,0,5,4,0.995500028133392,1
"100",1,1,0,-3,-6,0.626869976520538,1
"101",1,1,0,-7,-9,0.123039998114109,1
"102",1,1,0,4,1,0.889150023460388,1
"103",1,1,0,-7,10,0.959179997444153,1
"104",1,0,0,-9,-7,0.429749995470047,1
"105",1,1,0,10,-7,0.993929982185364,1
"106",1,1,0,-7,-7,0.833329975605011,1
"107",1,1,0,-10,-7,0.714649975299835,1
"108",1,1,0,-1,-1,0.5,1
"109",1,1,0,-7,2,0.711849987506866,1
"110",1,1,0,10,-1,0.208790004253387,1
"111",1,1,0,-9,-9,0.332159996032715,1
"112",1,0,0,-7,-4,0.819819986820221,1
"113",1,0,0,10,9,0.999660015106201,1
"114",1,0,0,-9,-7,0.0707100033760071,1
"115",1,1,0,NA,NA,NA,1
"116",1,0,0,10,10,0.898880004882812,1
"117",1,0,0,10,0,0.99932998418808,1
"118",1,1,0,-7,-9,0.590910017490387,1
