Channel ID,Channel Parent Category,Acronym (ENG),Full Name (English),ch_type,ch_identity
10000,10000,NA,PUBLIC SECTOR INSTITUTIONS,government,other
11000,11000,NA,Donor Government,government,donor
11001,11000,NA,Central Government,government,donor
11002,11000,NA,Local Government,government,donor
11003,11000,NA,Public corporations,government,donor
11004,11000,NA,Other public entities in donor country,government,donor
12000,12000,NA,Recipient Government,government,recipient
12001,12000,NA,Central Government,government,recipient
12002,12000,NA,Local Government,government,recipient
12003,12000,NA,Public corporations,government,recipient
12004,12000,NA,Other public entities in recipient country,government,recipient
13000,13000,NA,Third Country Government (Delegated co-operation),government,thirdparty
20000,20000,NA,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,ngo,donor
21000,21000,NA,INTERNATIONAL NGO,ngo,international
21001,21000,AGID,Association of Geoscientists for International Development,ngo,international
21002,47000,AITIC,Agency for International Trade Information and Co-operation,igo,other
21003,23000,CLASCO,Latin American Council for Social Sciences,ngo,developing
21004,51000,CODESRIA,Council for the Development of Economic and Social Research in Africa,edu,other
21005,21000,CUTS,Consumer Unity and Trust Society International,ngo,international
21006,22000,NA,Development Gateway Foundation,ngo,donor
21007,21000,ELCI,Environmental Liaison Centre International,ngo,international
21008,22000,Eurostep,Eurostep,ngo,donor
21009,51000,FARA,Forum for Agricultural Research in Africa,edu,other
21010,23000,FAWE,Forum for African Women Educationalists,ngo,developing
21011,21000,GCE,Global Campaign for Education,ngo,international
21013,21000,HAI,Health Action International,ngo,international
21014,22000,HURIDOCS,Human Rights Information and Documentation Systems,ngo,donor
21015,22000,ICRA,International Catholic Rural Association,ngo,donor
21016,21000,ICRC,International Committee of the Red Cross,ngo,international
21017,32000,ICTSD,International Centre for Trade and Sustainable Development,network,international
21018,21000,IFRCRCS,International Federation of Red Cross and Red Crescent Societies,ngo,international
21019,22000,IFS,International Federation of Settlements and Neighbourhood Centres,ngo,donor
21020,21000,NA,International HIV/AIDS Alliance,ngo,international
21021,51000,IIED,International Institute for Environment and Development,edu,other
21022,21000,INAFI,International Network for Alternative Financial Institutions,ngo,international
21023,21000,IPPF,International Planned Parenthood Federation,ngo,international
21024,21000,IPS,"Inter Press Service, International Association",ngo,international
21025,22000,ISC,International Seismological Centre,ngo,donor
21026,22000,ISHR,International Service for Human Rights,ngo,donor
21027,22000,ITF,ITF Enhancing Human Security,ngo,donor
21028,23000,IUEF,International University Exchange Fund - IUEF Stip. in Africa and Latin America,ngo,developing
21029,21000,MSF,Doctors Without Borders,ngo,international
21030,23000,PAID,Pan African Institute for Development,ngo,developing
21031,21000,PANOS,PANOS Institute,ngo,international
21032,21000,PSI,Population Services International,ngo,international
21033,22000,TI,Transparency International,ngo,donor
21034,21000,UNION,International Union Against Tuberculosis and Lung Disease,ngo,international
21035,22000,OMCT,World Organisation Against Torture,ngo,donor
21036,21000,WUS,World University Service,ngo,international
21037,22000,WWB,Women's World Banking,ngo,donor
21038,21000,NA,International Alert,ngo,international
21039,51000,IISD,International Institute for Sustainable Development,edu,other
21040,22000,IWTC,International Women's Tribune Centre,ngo,donor
21041,21000,SID,Society for International Development,ngo,international
21042,21000,Interpeace,International Peacebuilding Alliance,ngo,international
21043,32000,AWEPA,European Parliamentarians for Africa,network,international
21044,21000,ICCIDD,International Council for the Control of Iodine Deficiency Disorders,ngo,international
21045,21000,AMREF,African Medical and Research Foundation,ngo,international
21046,21000,ACORD,Agency for Cooperation and Research in Development,ngo,international
21047,22000,NA,AgriCord,ngo,donor
21048,23000,AAU,Association of African Universities,ngo,developing
21049,22000,ECDPM,European Centre for Development Policy Management,ngo,donor
21050,22000,NA,Geneva Call,ngo,donor
21051,23000,ISPEC,Institut Sup<e9>rieur Panafricaine d<U+0092>Economie Coop<e9>rative,ngo,developing
21053,21000,NA,"IPAS-Protecting Women<U+0092>s Health, Advancing Women<U+0092>s Reproductive Rights",ngo,international
21054,21000,LPI,Life and Peace Institute,ngo,international
21055,23000,RATN,Regional AIDS Training Network,ngo,developing
21056,31000,REEEP,Renewable Energy and Energy Efficiency Partnership,publicprivate,recipient
21057,21000,ICTJ,International Centre for Transitional Justice,ngo,international
21058,22000,ICG,International Crisis Group,ngo,donor
21059,23000,ASF,Africa Solidarity Fund,ngo,developing
21060,22000,APT,Association for the Prevention of Torture,ngo,donor
21061,21000,IRCT,International Rehabilitation Council for Torture Victims,ngo,international
21062,21000,TNC,The Nature Conservancy,ngo,international
21063,21000,CI,Conservation International,ngo,international
21501,21000,OXFAM-I,OXFAM International,ngo,international
21502,21000,NA,World Vision,ngo,international
21503,21000,FHI360,Family Health International 360,ngo,international
21504,21000,IRD,International Relief and Development,ngo,international
21505,21000,NA,Save the Children,ngo,international
