"","NewProjectTitle"
"1","  consolidaci<U+FFFD>n de procesos de base comunitaria para la gesti<U+FFFD>n de territorios ind<U+FFFD>genas en la regi<U+FFFD>n andina del sur occidente colombiano<U+FFFD>proyecto gualkal<U+FFFD>"
"2","  consolidación de procesos de base comunitaria para la gestión de territorios indígenas en la región andina del sur occidente colombiano proyecto gualkalá"
"3","  escuela permanente de formaci<U+FFFD>n campesina en colombia   2<U+FFFD> fase"
"4","  little sisters of the assumption   cesoles   empowering disadva ntaged youth through alegria d e viver  school of youth advo cates   joy of living "
"5","  planeaci  n participativa para el desarrollo local y subregional   del oriente antioque  o"
"6","  strengthening of alternative development productive projects   and   alternative development in antioquia  "
"7"," 2015 ksp caf improving the quality and productivity of tvet in colombia"
"8"," 2015 ksp idb joint consulting  smart city technical design in colombia"
"9"," 2016 17 ksp idb joint consulting  integrated operations and control center in villavicencio"
"10"," 2016 17 ksp idb joint consulting  technology transfer for water and wastewater treatment industry in colombia"
"11"," 2016 17 ksp policy consultation  public private partnership for urban transportation infrastructure in colombia"
"12"," 2016 17 ksp wb joint consulting  supporting healthcare quality governance and financial management in colombia"
"13"," ap 2015  l<U+FFFD>ndliches gemeinwesenentwicklungsprogramm in der di<U+FFFD>zese magangu<U+FFFD>  2004 2007 "
"14"," apoyo a la promoci<U+FFFD>n de los derechos de la comunidad ind<U+FFFD>gena motil<U+FFFD>n bar<U+FFFD> "
"15"," atenci<U+FFFD>n a la infancia desplazada por el conflicto armado "
"16"," ayuda humanitaria para las poblaciones retornadas y desplazadas en zonas inter fluviales de la costa pac<U+FFFD>fica colombiana "
"17"," brindar protecci<U+FFFD>n y apoyo a las v<U+FFFD>ctimas y reclamantes de tierra en el cumplimiento de los derechos que les otorga la ley 1448  "
"18"," caquet<U+FFFD> resiliente  construyendo paz "
"19"," consolidación del sistema de producción orgánica agroforestal para mejorar el ingreso de 800 pequeños propietarios campesinos en el norte del departamento del cauca  colombia   "
"20"," creaci<U+FFFD>n de alianzas hortofrut<U+FFFD>colas agro empresariales para dinamizar los sistemas de mercadeo y comercializaci<U+FFFD>n en  tres subregiones del departame"
"21"," dotaci<U+FFFD>n e implementaci<U+FFFD>n del taller de electricidad del instituto t<U+FFFD>cnico industrial don bosco de la ciudad de popay<U+FFFD>n  colombia  "
"22"," dozentenausbildung im kfz sektor   emissionsarmer technologien   f<U+FFFD>r das itsim pasto in kolumbien "
"23"," educaci<U+FFFD>n en el trabajo y la producci<U+FFFD>n  alternativas de capacitaci<U+FFFD>n y formaci<U+FFFD>n   barrio los m<U+FFFD>rtires <U+FFFD> bogot<U+FFFD>  colombia"
"24"," elaboraci<U+FFFD>n del informe de desarrollo humano para bogot<U+FFFD> "
