PurposeCode,dem_purpose
110,0
111,0
11110,0
11120,0
11130,0
11182,0
112,0
11220,0
11230,0
11231,0
11232,0
11240,0
113,0
11320,0
11321,0
11322,0
11330,0
114,0
11420,0
11430,0
120,0
121,0
12110,0
12181,0
12182,0
12191,0
122,0
12220,0
12230,0
12240,0
12250,0
12261,0
12262,0
12263,0
12281,0
130,0
13010,0
13020,0
13030,0
13040,0
13081,0
140,0
14010,0
14015,0
14020,0
14021,0
14022,0
14030,0
14031,0
14032,0
14040,0
14050,0
14081,0
150,0
151,0
15110,0
15121,0
15122,0
15123,0
15124,0
15125,0
15126,0
15127,0
15142,0
15143,0
15144,0
15154,0
15111,0
15117,0
15118,0
15119,0
15112,0
15128,0
15129,0
15185,0
15113,0
15114,0
15116,0
15155,0
15156,0
15130,0
15131,0
15132,0
15133,0
15134,0
15135,0
15136,0
15137,0
15150,0
15151,0
15152,0
15153,0
15160,0
15170,0
15180,0
15190,0
152,0
15210,0
15220,0
15230,0
15240,0
15250,0
15261,0
160,0
16010,0
16011,0
16012,0
16013,0
16014,0
16015,0
16020,0
16030,0
16040,0
16050,0
16061,0
16065,0
16066,0
16062,0
16063,0
16064,0
210,0
21010,1
21011,1
21012,1
21013,1
21020,0
21021,0
21022,0
21023,0
21024,0
21030,0
21040,0
21050,1
21061,0
21081,0
220,0
22010,0
22011,0
22012,0
22013,0
22020,0
22030,0
22040,0
230,0
231,0
23110,0
23111,0
23112,0
23181,0
23182,0
23183,0
232,0
23210,0
23220,0
23230,0
23240,0
23250,0
23260,0
23270,0
233,0
23310,0
23320,0
23330,0
23340,0
23350,0
23360,0
234,0
23410,0
235,0
23510,0
236,0
23610,0
23620,0
23630,0
23640,0
240,0
24010,0
24020,0
24030,0
24040,0
24050,0
24081,0
250,0
25010,0
25020,0
310,0
311,0
31110,0
31120,0
31130,0
31140,0
31150,0
31161,0
31162,0
31163,0
31164,0
31165,0
31166,0
31181,0
31182,0
31191,0
31192,0
31193,0
31194,0
31195,0
312,0
31210,0
31220,0
31261,0
31281,0
31282,0
31291,0
313,0
31310,0
31320,0
31381,0
31382,0
31391,0
320,0
321,0
32110,0
32120,0
32130,0
32140,0
32161,0
32162,0
32163,0
32164,0
32165,0
32166,0
32167,0
32168,0
32169,0
32170,0
32171,0
32172,1
32182,0
322,0
32210,0
32220,0
32261,0
32262,0
32263,0
32264,0
32265,0
32266,0
32267,0
32268,0
323,0
32310,0
330,0
331,0
33110,0
33120,0
33130,0
33140,0
33150,0
33181,0
332,0
33210,0
410,0
41010,0
41020,0
41030,0
41040,0
41050,0
41081,0
41082,0
430,0
43010,0
43030,0
43031,0
43032,0
43040,0
43041,0
43042,0
43050,0
43081,0
43082,0
510,0
51010,0
520,0
52010,0
530,0
53030,0
53040,0
600,0
60010,0
60020,0
60030,0
60040,0
60061,0
60062,0
60063,0
720,0
72010,0
72040,0
72050,0
730,0
73010,0
740,0
74010,0
910,0
91010,0
930,0
93010,0
998,0
99810,0
99820,0
